id,account,password,serverid,server
1,d60c693824f1b47a64d0c846e5bd9a47,CYCYCY,2,ws://106.15.59.11:1112
2,bc8d3c3c7d0ffcda1ba10c5c2a8bafdd,CYCYCY,2,ws://106.15.59.11:1112
3,7b462b1d578b7fc7525160a7421ee092,CYCYCY,2,ws://106.15.59.11:1112
4,bbcd12a9be95279dbf3bb9ff6e41dc43,CYCYCY,2,ws://106.15.59.11:1112
5,6a52cdfd62e9b9701e5380841258f9fa,CYCYCY,2,ws://106.15.59.11:1112
6,5f78d518cc01e5965cbd46fc0dbc36ab,CYCYCY,2,ws://106.15.59.11:1112
7,55f40b608dfaf903272b8e382b022558,CYCYCY,2,ws://106.15.59.11:1112
8,fa9d0b5979638a11ef416b399988b59f,CYCYCY,2,ws://106.15.59.11:1112
9,db08478238b732e2cf2962f6be25d270,CYCYCY,2,ws://106.15.59.11:1112
10,0930d8749d94044e749e7360effba214,CYCYCY,2,ws://106.15.59.11:1112
11,8986204ec4bfb5a8361e32ace7b24030,CYCYCY,2,ws://106.15.59.11:1112
12,952b10d54db45061c56358d64ed31d69,CYCYCY,2,ws://106.15.59.11:1112
13,5017bc22fefce098f26a89a6a2d612d3,CYCYCY,2,ws://106.15.59.11:1112
14,2ad7e01b09675644a44431b4b5a25767,CYCYCY,2,ws://106.15.59.11:1112
15,cde7afd35b7c0eaaaad7132d4429f187,CYCYCY,2,ws://106.15.59.11:1112
16,8a61a254361dbf7dc3b8486ebc5383c0,CYCYCY,2,ws://106.15.59.11:1112
17,808d4acf54d1fdcfff3f29319aaee724,CYCYCY,2,ws://106.15.59.11:1112
18,a4f023d1abfc620618e066c7567275b0,CYCYCY,2,ws://106.15.59.11:1112
19,664d4743f8390b8532c5a06798f48c2a,CYCYCY,2,ws://106.15.59.11:1112
20,a385c0a9683776730d5b0fa8a2ab5cbb,CYCYCY,2,ws://106.15.59.11:1112
21,6ab1d6ee3e529e7ab66427a5bcbf6b11,CYCYCY,2,ws://106.15.59.11:1112
22,696c33ae722604dde439a6dc9271304e,CYCYCY,2,ws://106.15.59.11:1112
23,11cc9ac5dcde5d01a76409a55301ed82,CYCYCY,2,ws://106.15.59.11:1112
24,60eb5689c6aba5750a771606de71b269,CYCYCY,2,ws://106.15.59.11:1112
25,305328e76379b426e4a1f95b17130a13,CYCYCY,2,ws://106.15.59.11:1112
26,3f9df17e95a78eab0c7fc18c4cdea1ab,CYCYCY,2,ws://106.15.59.11:1112
27,44def30963a189052d81b05263b2ca1e,CYCYCY,2,ws://106.15.59.11:1112
28,58d0eb9d3b1b4f98fb708d37b7ed2616,CYCYCY,2,ws://106.15.59.11:1112
29,74d9e17b9a489c51b3c6b077b8d50a65,CYCYCY,2,ws://106.15.59.11:1112
30,21273334dcd206524fee093488600875,CYCYCY,2,ws://106.15.59.11:1112
31,52dc50b3a81a10219606b03df4ee8567,CYCYCY,2,ws://106.15.59.11:1112
32,5e0f626535d1b1a302621e39faf78602,CYCYCY,2,ws://106.15.59.11:1112
33,cdf538db3b881b1aca7c0dc93b55d828,CYCYCY,2,ws://106.15.59.11:1112
34,60826272ff19ad403c7222be86a72073,CYCYCY,2,ws://106.15.59.11:1112
35,207c3dcd90d2175e4d6ce6564f23e645,CYCYCY,2,ws://106.15.59.11:1112
